#{"t_start": 1755769704.9728475, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
3.182407,1,1692.596807,25.985662779124482,"[2623.5252862935017, 1970.6958625694078, 1735.6566346527222]",6134.648313185043,6134.648313185043,[91.68716176 85.07497397 69.7505863 ],[92.45897722 63.45918846 64.50728846],[92.  64.5 64.5],[ 0.31283824  6.92502603 22.2494137 ],[-0.45897722 28.54081154 27.49271154],[ 0.  27.5 27.5],92.0,10.0,0.05
-5.829816,1,1692.597053,-7.902791430097982,"[2383.63210587888, 1509.4742622710612, 1334.4695729376126]",5551.200726059997,5551.200726059997,[89.67363866 84.26050081 65.28727177],[90.44545412 62.64471531 60.04397392],[90.   61.25 60.  ],[ 0.32636134  5.73949919 24.71272823],[-0.44545412 27.35528469 29.95602608],[ 0.   28.75 30.  ],90.0,10.0,0.05
4.190361,1,1692.597294,8.42479967306327,"[2545.621249813804, 2218.2224862514104, 1720.7566955778198]",6223.800703905897,6223.800703905897,[89.36766132 88.50246039 67.42527798],[90.13947678 66.88667488 62.18198013],[92.   65.75 64.5 ],[ 2.63233868  3.49753961 24.57472202],[ 1.86052322 25.11332512 29.81801987],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-4.5512166,1,1692.597529,-13.49402209905126,"[2597.0885415942503, 2200.2293186583793, 2100.958818733867]",7227.202323844247,7227.202323844247,[101.40676387  95.9177064   75.64704636],[102.17857933  74.30192089  70.40374851],[96.  76.  73.5],[-5.40676387  0.0822936  20.35295364],[-6.17857933 21.69807911 25.59625149],[ 0.  20.  22.5],96.0,10.0,0.05
2.4055972,1,2259.469896,-0.8840493502105939,"[2642.3467120656965, 2211.1790249657915, 2048.492005601651]",6739.8832926417335,6739.8832926417335,[95.79536851 91.85514012 74.14593247],[96.56718397 70.23935461 68.90263462],[94. 69. 69.],[-1.79536851  2.14485988 19.85406753],[-2.56718397 23.76064539 25.09736538],[ 0. 25. 25.],94.0,10.0,0.05
6.017144,1,2259.470393,10.371575693900642,"[2608.661327066639, 2439.361030884706, 2097.4094192492744]",6739.8832926417335,6739.8832926417335,[92.33234103 88.25601378 71.09573868],[93.10415649 66.64022827 65.85244083],[94. 69. 69.],[ 1.66765897  5.74398622 22.90426132],[ 0.89584351 27.35977173 28.14755917],[ 0. 25. 25.],94.0,10.0,0.05
-5.950725,1,2259.47065,-8.254713628497967,"[2472.1659781325448, 1390.350321683216, 1358.3477286928412]",5551.200726059997,5551.200726059997,[87.97602447 81.12676993 67.01719883],[88.74783993 59.51098442 61.77390099],[90.   61.25 60.  ],[ 2.02397553  8.87323007 22.98280117],[ 1.25216007 30.48901558 28.22609901],[ 0.   28.75 30.  ],90.0,10.0,0.05
-12.659587,1,2259.470894,-18.327143981375926,"[2218.7932779752723, 1334.3207489335393, 1295.3276390534593]",5551.200726059997,5551.200726059997,[88.63369735 80.15376463 65.46651247],[89.40551281 58.53797913 60.22321463],[90.   61.25 60.  ],[ 1.36630265  9.84623537 24.53348753],[ 0.59448719 31.46202087 29.77678537],[ 0.   28.75 30.  ],90.0,10.0,0.05
-3.3018858,1,2259.471139,-9.20587190763892,"[2660.7326754522446, 1942.6173744047942, 1880.5172943883993]",6705.267629373868,6705.267629373868,[94.08180173 89.38163557 74.54025534],[94.85361719 67.76585007 69.29695749],[94. 69. 69.],[-0.08180173  4.61836443 19.45974466],[-0.85361719 26.23414993 24.70304251],[ 0. 25. 25.],94.0,10.0,0.025
4.643181,1,2259.471402,6.956564509343408,"[2685.463659813984, 1864.5082359315434, 1813.8698240214794]",6081.468163141961,6081.468163141961,[89.57494243 85.29777136 70.07914856],[90.34675789 63.68198586 64.83585072],[92.  62.  64.5],[ 2.42505757  6.70222864 21.92085144],[ 1.65324211 28.31801414 27.16414928],[ 0.  30.  27.5],92.0,10.0,0.025
9.587526,1,2259.471652,35.5731887875058,"[2756.9871663214217, 2346.43180460584, 2334.2667053143023]",6786.982010774406,6786.982010774406,[95.6267422  88.14295569 73.56254128],[96.39855766 66.52717018 68.31924343],[94.   70.25 69.  ],[-1.6267422   5.85704431 20.43745872],[-2.39855766 27.47282982 25.68075657],[ 0.   23.75 25.  ],94.0,10.0,0.075
5.9806976,1,2259.471894,-1.922093810527918,"[2770.1660739001686, 2233.528793049382, 2139.280465337008]",6739.8832926417335,6739.8832926417335,[89.54171355 91.54935398 74.73795203],[90.31352901 69.93356848 69.49465418],[94. 69. 69.],[ 4.45828645  2.45064602 19.26204797],[ 3.68647099 24.06643152 24.50534582],[ 0. 25. 25.],94.0,10.0,0.05
1.8873284,1,2259.472145,10.312128057168428,"[2744.985287234259, 2428.797249836689, 2216.7384605405955]",7253.621343127194,7253.621343127194,[96.97195657 95.3231     77.1343396 ],[97.74377203 73.70731449 71.89104176],[96.   74.75 73.5 ],[-0.97195657  0.6769     18.8656604 ],[-1.74377203 22.29268551 24.10895824],[ 0.   21.25 22.5 ],96.0,10.0,0.025
