simseed,sum_turbine_powers,floris_opt,rew,rewbaseline,wdir,ws,TI,FFSeed
8338005591,7974.355637610162,7259.535593727533,9.846635981787276,7.853768944342608, 96.0,10.0,0.05,1
6058492089,7308.948117784341,6744.809698019875,8.364037608504864,1.8582272604869123, 94.0,10.0,0.075,3
2187731435,7345.5536915897665,7265.4629093692565,1.102349337125209,-2.6469100789337165, 96.0,10.0,0.025,5
2197556608,6392.807057550435,6675.393914287828,-4.233261143324466,4.759306345784315, 94.0,10.0,0.025,2
9129478723,7355.329959314428,7259.535593727533,1.3195660293981493,-4.905065408296441, 96.0,10.0,0.05,5
169790663,6452.721023388782,6162.727860477773,4.705597415241482,-5.660049914538537, 92.0,10.0,0.075,6
6514363791,6017.966474262077,6162.727860477773,-2.3489822931183775,4.793795275598988, 92.0,10.0,0.075,4
3081405150,6917.373353981019,6708.632226432118,3.1115303463268984,-3.432593539922287, 94.0,10.0,0.05,6
4550237770,6466.0902497194775,6162.727860477773,4.9225342431100945,-5.660049914538537, 92.0,10.0,0.075,6
5324853701,6628.042956678444,7280.253599960612,-8.958625332580395,5.34292517516278, 96.0,10.0,0.075,0
6598115917,7156.185460405992,6708.632226432118,6.671303760109355,2.7467703373010655, 94.0,10.0,0.05,9
3233665430,7390.3677797146975,7265.4629093692565,1.7191591493002947,-5.573208796264698, 96.0,10.0,0.025,7
5185423839,7289.065095457141,6744.809698019875,8.06924764084963,1.8582272604869123, 94.0,10.0,0.075,3
793888570,6922.530256460919,6708.632226432118,3.188400001807218,-3.432593539922287, 94.0,10.0,0.05,6
4769769224,5880.7969323800635,5634.8352801952,4.36501938307491,-6.319966841777558, 90.0,10.0,0.075,6
8037371655,5347.156870373241,5505.842001501657,-2.882122863045047,-6.3986394726209666, 90.0,10.0,0.05,5
3439330260,6304.676682525395,6708.632226432118,-6.021429261170874,5.690223407706308, 94.0,10.0,0.05,0
6410074099,7084.608631501691,6708.632226432118,5.604367513070995,0.6530943634107321, 94.0,10.0,0.05,3
7554909864,5314.760755810262,5634.8352801952,-5.680281826691657,-9.52499001796503, 90.0,10.0,0.075,8
9096445746,6379.666318706261,6744.809698019875,-5.413694316991801,-8.528801601515816, 94.0,10.0,0.075,8
2829261945,7468.52461984757,7259.535593727533,2.8788208752721074,-10.899743174498775, 96.0,10.0,0.05,7
1685066603,5941.862996117563,6066.973800805253,-2.0621616112976153,-2.83397543094306, 92.0,10.0,0.025,8
5537144272,6831.35283283969,6675.393914287828,2.3363253248329134,0.20221783058269222, 94.0,10.0,0.025,3
4728464979,7655.4084333128885,6744.809698019875,13.500732801406459,9.179413638083778, 94.0,10.0,0.075,1
9350590644,5852.253938944377,5634.8352801952,3.858474080215632,-6.319966841777558, 90.0,10.0,0.075,6
8946543152,5772.5324539072135,6082.511517684261,-5.096234719421674,9.321730214163935, 92.0,10.0,0.05,2
9666412924,5277.63060334498,5634.8352801952,-6.339221274234753,-9.52499001796503, 90.0,10.0,0.075,8
5513563408,7569.255250253498,7280.253599960612,3.969664604739183,-4.842561412393738, 96.0,10.0,0.075,6
9719011230,6011.996845324531,6082.511517684261,-1.1593019126181017,3.6384770957594093, 92.0,10.0,0.05,4
6281102590,6324.412806179906,6082.511517684261,3.976996801277599,-2.8644372635751156, 92.0,10.0,0.05,6
3022020844,6363.143542856958,6744.809698019875,-5.658664547273519,-8.528801601515816, 94.0,10.0,0.075,8
8758159009,5646.970810419356,5467.168837650526,3.2887583703395973,-7.05073970401838, 90.0,10.0,0.025,7
9357739419,6803.182395972687,6675.393914287828,1.9143212119863695,-1.8289846213454766, 94.0,10.0,0.025,6
644017028,5606.301492022064,5467.168837650526,2.544875757510516,1.2306311643802734, 90.0,10.0,0.025,3
4938823203,7087.783045622595,7265.4629093692565,-2.4455408549059245,2.1573210073447884, 96.0,10.0,0.025,0
8478935938,5312.270645998459,5634.8352801952,-5.724473177245497,12.543620106849277, 90.0,10.0,0.075,2
6718051006,5265.7777157300225,5505.842001501657,-4.360173897219715,8.084175475997633, 90.0,10.0,0.05,2
4601388352,5450.531555040521,6162.727860477773,-11.556510713456003,7.652446376234414, 92.0,10.0,0.075,0
1059859057,6906.277952109925,6744.809698019875,2.3939630815299777,-5.464897456878574, 94.0,10.0,0.075,6
4447205046,6446.679674483103,6708.632226432118,-3.904708785747981,-5.739063905177821, 94.0,10.0,0.05,8
8964773264,6264.339336308232,5634.8352801952,11.171649654525938,8.34502804324651, 90.0,10.0,0.075,1
889402342,5744.4708418785995,7265.4629093692565,-20.93455140386506,-1.62563113193516, 96.0,10.0,0.025,6
6548777773,5661.265510212852,7265.4629093692565,-22.079768614436038,-2.6469100789337165, 96.0,10.0,0.025,5
660455641,4903.093563437444,5634.8352801952,-12.986035622542763,6.916997147063963, 90.0,10.0,0.075,4
202434880,4883.95564445302,6082.511517684261,-19.704950327616583,-14.122483547336753, 92.0,10.0,0.05,7
7112648301,5062.315907270022,6066.973800805253,-16.559456600947993,-3.213100752833159, 92.0,10.0,0.025,5
7326538929,4998.501118482445,5505.842001501657,-9.214592116534408,2.9332511359995657, 90.0,10.0,0.05,3
5314393713,5856.343160106929,7265.4629093692565,-19.394769016646993,0.11791309545874998, 96.0,10.0,0.025,3
7550483621,5710.251390055129,6708.632226432118,-14.88203262124509,6.360833039600183, 94.0,10.0,0.05,1
5066907815,5791.668440889189,7280.253599960612,-20.44688606835724,2.406009280450171, 96.0,10.0,0.075,9
4834969958,5171.803761332004,6066.973800805253,-14.754803117073545,1.7510834456866198, 92.0,10.0,0.025,4
4483849053,5588.6853941271,6744.809698019875,-17.140947716170366,14.098661241141542, 94.0,10.0,0.075,2
2658323154,5545.254793236119,7265.4629093692565,-23.676510878815773,-5.573208796264698, 96.0,10.0,0.025,7
9908447843,5671.401968142076,7259.535593727533,-21.876518202592106,-4.905065408296441, 96.0,10.0,0.05,5
7195643729,5165.608340815428,6066.973800805253,-14.856920263446478,-1.7360899048423524, 92.0,10.0,0.025,6
