number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
56,1.9285019767466893,2025-11-22 09:29:05.139755,2025-11-22 10:36:06.760005,0 days 01:07:01.620250,0.00908572563054803,0.0001295686132662016,1,2,COMPLETE
57,1.8466370460312167,2025-11-22 09:29:09.026428,2025-11-22 10:35:22.601687,0 days 01:06:13.575259,0.026568547971416417,0.0001235547665625862,1,2,COMPLETE
58,1.8216710789475965,2025-11-22 09:29:10.052017,2025-11-22 10:35:54.840091,0 days 01:06:44.788074,0.008812428362590096,0.00011728993288498231,1,9,COMPLETE
59,1.8522395759536618,2025-11-22 09:29:10.168562,2025-11-22 10:35:40.368836,0 days 01:06:30.200274,0.03861128870797503,0.00014478962989177048,1,2,COMPLETE
60,1.6089425698153208,2025-11-22 09:29:13.786063,2025-11-22 10:36:11.770894,0 days 01:06:57.984831,0.009370109388354014,0.00011758334257040464,1,9,COMPLETE
61,1.6622043268821844,2025-11-22 09:29:18.244153,2025-11-22 10:35:42.449813,0 days 01:06:24.205660,0.009175666356850666,0.0001163903392704783,1,9,COMPLETE
62,1.6726866477021827,2025-11-22 09:29:22.985003,2025-11-22 10:36:25.197425,0 days 01:07:02.212422,0.02520427498532895,0.0001087335071035965,1,9,COMPLETE
63,1.529803403352225,2025-11-22 09:30:54.541110,2025-11-22 10:39:08.633177,0 days 01:08:14.092067,0.005206311760898504,0.00011942242471368579,1,9,COMPLETE
64,1.7709413486326926,2025-11-22 09:31:02.924104,2025-11-22 10:39:16.596953,0 days 01:08:13.672849,0.023195544652351612,0.0001271045391986158,1,9,COMPLETE
65,1.8270775024705572,2025-11-22 09:31:03.117015,2025-11-22 10:38:25.343868,0 days 01:07:22.226853,0.005362941240882871,0.0001310364150023286,1,2,COMPLETE
66,1.8374627227907716,2025-11-22 09:31:04.160001,2025-11-22 10:39:27.574334,0 days 01:08:23.414333,0.009157313657929825,0.00011515778064819974,1,9,COMPLETE
67,2.0158393479738734,2025-11-22 09:31:11.675404,2025-11-22 10:39:03.210980,0 days 01:07:51.535576,0.009277055393568202,0.0001166722172977654,1,9,COMPLETE
68,1.8807159049922941,2025-11-22 09:31:12.979513,2025-11-22 10:38:58.188294,0 days 01:07:45.208781,0.008930945678268262,0.00011961827868184994,1,9,COMPLETE
69,1.5556307148799928,2025-11-22 09:31:19.692595,2025-11-22 10:39:03.928558,0 days 01:07:44.235963,0.009025359164553472,2.2109221775400278e-05,1,2,COMPLETE
70,1.6380879286964027,2025-11-22 09:31:26.628859,2025-11-22 10:39:06.013513,0 days 01:07:39.384654,0.005218625411189144,0.00012720412711837327,1,2,COMPLETE
71,1.6997617395210614,2025-11-22 09:31:39.840424,2025-11-22 10:39:04.010510,0 days 01:07:24.170086,0.008985362061618223,0.0001174845684553373,1,9,COMPLETE
72,1.848016192138831,2025-11-22 09:31:40.594821,2025-11-22 10:39:45.381892,0 days 01:08:04.787071,0.005193566106392622,0.00011419052063639198,1,9,COMPLETE
73,1.6584313228018368,2025-11-22 09:31:42.998510,2025-11-22 10:39:21.059053,0 days 01:07:38.060543,0.025208426205279265,0.0001358353374694725,1,9,COMPLETE
74,1.9092395426491238,2025-11-22 09:31:44.346324,2025-11-22 10:39:46.156689,0 days 01:08:01.810365,0.009274880348269086,0.00013925089943488543,1,9,COMPLETE
75,1.5653080593032676,2025-11-22 09:34:48.621350,2025-11-22 10:39:24.046679,0 days 01:04:35.425329,0.026766062053023933,0.00012039953028494159,1,9,COMPLETE
76,1.5401811399918695,2025-11-22 09:34:53.849266,2025-11-22 10:39:45.871326,0 days 01:04:52.022060,0.0266319857907119,0.00013324379813126595,1,9,COMPLETE
77,1.6067328560680247,2025-11-22 10:32:46.501933,2025-11-22 10:43:02.253722,0 days 00:10:15.751789,0.02745590624334734,0.00011747218576350303,1,2,COMPLETE
78,1.5804086788056109,2025-11-22 10:34:01.176574,2025-11-22 11:07:27.139912,0 days 00:33:25.963338,0.10110688335880955,0.00018382616596883755,1,5,COMPLETE
