number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
85,-1.2536344223271354,2025-11-21 07:50:45.559475,2025-11-21 08:12:25.619263,0 days 00:21:40.059788,0.007290318447584265,0.008280452407593591,17,COMPLETE
86,-0.31393846920530005,2025-11-21 07:50:49.740531,2025-11-21 08:12:35.015754,0 days 00:21:45.275223,0.009778008449086592,0.02713271119125512,14,COMPLETE
87,-0.3654521431620344,2025-11-21 07:50:54.855409,2025-11-21 08:12:21.834777,0 days 00:21:26.979368,0.009209460574897497,0.00813673159298903,18,COMPLETE
88,0.016280358576430842,2025-11-21 07:50:57.191948,2025-11-21 08:12:24.347607,0 days 00:21:27.155659,0.007107722564672831,0.008070349330905658,16,COMPLETE
89,-0.038846877926039594,2025-11-21 07:53:24.492379,2025-11-21 08:18:33.523085,0 days 00:25:09.030706,0.00693739281275269,0.007992540586132128,15,COMPLETE
90,0.10140284034000703,2025-11-21 07:53:27.775767,2025-11-21 08:18:27.026505,0 days 00:24:59.250738,0.008285983806455822,0.008755272093489024,15,COMPLETE
91,-0.036630632308012195,2025-11-21 07:53:32.508525,2025-11-21 08:18:43.284405,0 days 00:25:10.775880,0.0067079902103440855,0.008846133365598533,14,COMPLETE
92,-1.8003454100578833,2025-11-21 07:53:33.248652,2025-11-21 08:18:35.376669,0 days 00:25:02.128017,0.006376525910983455,0.008176829798770782,15,COMPLETE
93,-1.8620463442011512,2025-11-21 07:53:38.601199,2025-11-21 08:18:39.422551,0 days 00:25:00.821352,0.007466758157904537,0.008403616092278552,16,COMPLETE
94,0.004748832693468696,2025-11-21 07:53:40.564782,2025-11-21 08:18:39.164352,0 days 00:24:58.599570,0.007958709850555088,0.0079585082992617,11,COMPLETE
95,-1.6494852327551266,2025-11-21 07:53:45.161496,2025-11-21 08:18:26.335219,0 days 00:24:41.173723,0.00693896349234698,0.00842336078626152,16,COMPLETE
96,-1.0031407182863743,2025-11-21 07:53:51.468494,2025-11-21 08:18:41.204104,0 days 00:24:49.735610,0.006745061741141414,0.008037999138373457,17,COMPLETE
97,-0.5243541619696941,2025-11-21 07:53:52.066567,2025-11-21 08:18:36.347495,0 days 00:24:44.280928,0.00682225086425612,0.02740214546187638,16,COMPLETE
98,-0.0911982737592125,2025-11-21 07:54:47.268496,2025-11-21 08:17:55.566780,0 days 00:23:08.298284,0.012046154235939063,0.00819951590848619,96,COMPLETE
99,-0.3792691878880439,2025-11-21 07:54:59.912708,2025-11-21 08:17:55.809425,0 days 00:22:55.896717,0.011602957822230333,0.017019535864332542,97,COMPLETE
