number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_train_freq,state
58,-0.13288303740214077,2025-11-21 14:51:10.138040,2025-11-21 15:47:16.166242,0 days 00:56:06.028202,0.0033396778194250904,0.00019046199663263477,1,COMPLETE
59,-0.28343675239604976,2025-11-21 14:51:13.065611,2025-11-21 15:47:26.939420,0 days 00:56:13.873809,0.001517071773016558,5.673013009783838e-05,1,COMPLETE
60,-0.29736019778903605,2025-11-21 14:51:22.459816,2025-11-21 15:48:42.242172,0 days 00:57:19.782356,0.0034588321380248964,4.9605935074511924e-05,1,COMPLETE
61,-0.30505781293217926,2025-11-21 14:51:24.797855,2025-11-21 15:49:00.598018,0 days 00:57:35.800163,0.003772599617075425,0.00019221751725056522,1,COMPLETE
62,-0.12951650978816742,2025-11-21 14:51:25.259995,2025-11-21 15:48:55.333136,0 days 00:57:30.073141,0.0036733316551502463,0.0001953550181348384,1,COMPLETE
63,-0.5495376859245646,2025-11-21 14:51:29.717110,2025-11-21 15:48:58.611313,0 days 00:57:28.894203,0.004067167706197619,0.00019708769492837958,1,COMPLETE
64,-0.11651024242079754,2025-11-21 14:51:32.133365,2025-11-21 15:49:11.498625,0 days 00:57:39.365260,0.003396329044426512,0.00020208436853239706,1,COMPLETE
65,-0.7910764668708067,2025-11-21 14:51:33.057877,2025-11-21 15:49:07.300227,0 days 00:57:34.242350,0.003309814871117066,0.00019130335177328355,1,COMPLETE
66,-1.0992712245535408,2025-11-21 14:51:33.734122,2025-11-21 15:49:09.884476,0 days 00:57:36.150354,0.0031807579416507376,0.00021124940850024375,1,COMPLETE
67,-0.53559188644257,2025-11-21 14:51:34.029331,2025-11-21 15:48:52.523395,0 days 00:57:18.494064,0.0037017372795123734,0.0001839542772441515,1,COMPLETE
68,-0.2748479283078031,2025-11-21 14:51:38.832785,2025-11-21 15:48:55.058272,0 days 00:57:16.225487,0.002998944569302373,0.00019477415452544917,1,COMPLETE
69,-0.13722339854074564,2025-11-21 14:51:39.037487,2025-11-21 15:49:02.839821,0 days 00:57:23.802334,0.003203192176072412,0.0001916206839826169,1,COMPLETE
70,0.09292905607118948,2025-11-21 14:51:39.673139,2025-11-21 15:48:30.226930,0 days 00:56:50.553791,0.0038695313395504375,0.00019923756130630493,1,COMPLETE
71,-0.057281648024975394,2025-11-21 14:51:42.916247,2025-11-21 15:49:00.340775,0 days 00:57:17.424528,0.002867943083157618,0.00019147558727244745,1,COMPLETE
72,-0.14548781661458238,2025-11-21 14:51:47.684998,2025-11-21 15:48:56.007736,0 days 00:57:08.322738,0.004360055925729004,0.00016231181716081116,1,COMPLETE
73,-0.11365914129091531,2025-11-21 14:51:48.749621,2025-11-21 15:48:53.906014,0 days 00:57:05.156393,0.0035159468317224178,0.0001930818158899578,1,COMPLETE
74,0.24525722030154976,2025-11-21 14:52:11.307340,2025-11-21 15:49:56.773506,0 days 00:57:45.466166,0.003411902178958377,0.00019111409177986877,1,COMPLETE
75,-0.1652617484818367,2025-11-21 15:36:33.280251,2025-11-21 16:03:48.457904,0 days 00:27:15.177653,0.007596707715027354,0.0001110889417309876,11,COMPLETE
76,-0.20365999734921678,2025-11-21 15:36:39.003725,2025-11-21 16:03:44.969445,0 days 00:27:05.965720,0.008031745373137977,0.00011402049721990603,11,COMPLETE
77,-0.8232916006614357,2025-11-21 15:36:43.926701,2025-11-21 16:03:50.786318,0 days 00:27:06.859617,0.0073257388369360596,0.00011551165821149063,11,COMPLETE
78,0.06031833879497739,2025-11-21 15:36:44.466441,2025-11-21 16:03:52.277056,0 days 00:27:07.810615,0.007482389045759718,0.0001195609227928615,11,COMPLETE
79,-0.47767770716806457,2025-11-21 15:36:47.406814,2025-11-21 16:03:37.135351,0 days 00:26:49.728537,0.007773114704334546,0.00011085091476000074,11,COMPLETE
80,-0.493362073195591,2025-11-21 15:47:16.168357,2025-11-21 16:28:53.889002,0 days 00:41:37.720645,0.0707704052177843,0.0004011930968948432,21,COMPLETE
81,-0.4912120120373025,2025-11-21 15:47:18.351229,2025-11-21 16:28:43.223381,0 days 00:41:24.872152,0.012260385283938122,0.0003937464423886268,21,COMPLETE
82,-0.1807319017058146,2025-11-21 15:47:26.942059,2025-11-21 16:28:52.643863,0 days 00:41:25.701804,0.010872295146006456,0.0006955047829968875,21,COMPLETE
83,-0.19280180279900772,2025-11-21 15:47:28.689886,2025-11-21 16:28:20.840224,0 days 00:40:52.150338,0.011732901524652633,0.0003760476334193331,21,COMPLETE
84,-0.07586913542862464,2025-11-21 15:47:29.355555,2025-11-21 16:28:56.539648,0 days 00:41:27.184093,0.011685087317916178,0.0003786328780188501,21,COMPLETE
85,-0.08853898546990735,2025-11-21 15:48:30.229181,2025-11-21 16:28:44.723363,0 days 00:40:14.494182,0.011013667799254273,0.0004028109324005965,21,COMPLETE
86,0.07872356459104866,2025-11-21 15:48:42.246047,2025-11-21 16:28:33.712359,0 days 00:39:51.466312,0.011227614853109419,0.00039392090524677486,21,COMPLETE
87,-0.22766507683439152,2025-11-21 15:48:52.525930,2025-11-21 16:29:11.731954,0 days 00:40:19.206024,0.013095422492154373,0.00040425323395502336,21,COMPLETE
88,-0.5233214392295806,2025-11-21 15:48:53.907932,2025-11-21 16:28:22.254734,0 days 00:39:28.346802,0.0130209481912292,0.0003911576874626303,21,COMPLETE
89,-0.04924418797890296,2025-11-21 15:48:55.059663,2025-11-21 16:28:26.787094,0 days 00:39:31.727431,0.012669997958650831,0.0006979402122401409,21,COMPLETE
90,-0.07744839479215358,2025-11-21 15:48:55.334729,2025-11-21 16:28:59.108640,0 days 00:40:03.773911,0.012177562494646318,0.0003940765850805587,21,COMPLETE
91,-0.763820710822112,2025-11-21 15:48:56.009746,2025-11-21 16:28:15.645169,0 days 00:39:19.635423,0.011356001332381113,0.0004064961103004721,21,COMPLETE
92,-0.1329631592528528,2025-11-21 15:48:58.612667,2025-11-21 16:29:01.652089,0 days 00:40:03.039422,0.012022505897962062,0.0006998204104402518,21,COMPLETE
93,0.08151806988847371,2025-11-21 15:49:00.342843,2025-11-21 16:28:23.396000,0 days 00:39:23.053157,0.011948978865682833,0.0006866522635701076,21,COMPLETE
94,-0.16965129819492558,2025-11-21 15:49:00.599050,2025-11-21 16:28:20.037127,0 days 00:39:19.438077,0.01293549940814513,0.00041871230387895467,21,COMPLETE
95,0.06498246537860951,2025-11-21 15:49:02.841946,2025-11-21 16:28:35.758454,0 days 00:39:32.916508,0.0018151516371304277,0.0007166125461293357,21,COMPLETE
96,-0.0831726921222598,2025-11-21 15:49:07.302224,2025-11-21 16:29:01.245197,0 days 00:39:53.942973,0.010341304745456532,0.0004033042344340287,21,COMPLETE
97,-0.031702774707766966,2025-11-21 15:49:09.886302,2025-11-21 16:28:58.462614,0 days 00:39:48.576312,0.012411045761898134,0.00038865063730860204,21,COMPLETE
98,-0.14429401178558965,2025-11-21 15:49:11.499651,2025-11-21 16:27:55.068247,0 days 00:38:43.568596,0.011926610368070457,0.0003948613141582014,21,COMPLETE
99,-0.2036324208834477,2025-11-21 15:49:56.775254,2025-11-21 16:28:38.771389,0 days 00:38:41.996135,0.0017433833146030604,0.00069706627627261,21,COMPLETE
