#{"t_start": 1765983727.382072, "env_id": "None"}
r,l,t,r,r_stochastic,r_stochastic_1seed,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-0.001091445721209603,1,1.748051,-0.001091445721209603,nan,nan,[2182.43120833 1900.03047229 2331.50801928],nan,[6414.03970567],[95.51298444 76.07844417 72.0463783 ],[95.51298444 76.07844417 72.0463783 ],[95.74880903 75.74880903 71.99880903],[ 0.23582458 19.67036486 23.70243073],[ 0.23582458 19.67036486 23.70243073],[ 0.   20.   23.75],95.74880902928929,10.0,0.06512592010243812
-0.0021536499048126134,1,1.748327,-0.0021536499048126134,nan,nan,[2010.81799963 1532.80900069 2242.76587221],nan,[5786.51749386],[93.19664029 69.74226502 67.2899392 ],[93.19664029 69.74226502 67.2899392 ],[93.5688403 69.8188403 67.3188403],[ 0.37220001 23.82657528 26.2789011 ],[ 0.37220001 23.82657528 26.2789011 ],[ 0.   23.75 26.25],93.56884029727462,10.0,0.06029420156610743
-0.01019769886355119,1,1.74861,-0.01019769886355119,nan,nan,[1911.14834987 1229.19689742 2189.45245991],nan,[5330.34127935],[91.59931585 63.70062277 64.36879561],[91.59931585 63.70062277 64.36879561],[92.07922861 64.57922861 64.57922861],[ 0.47991276 28.37860584 27.71043301],[ 0.47991276 28.37860584 27.71043301],[ 0.  27.5 27.5],92.079228612464,10.0,0.04948942699407753
-0.0519607062651245,1,1.748881,-0.0519607062651245,nan,nan,[2193.20882034 1834.19279812 2255.42796562],nan,[6286.0958839],[94.75710357 73.74768699 69.35375655],[94.75710357 73.74768699 69.35375655],[95.28088535 74.03088535 70.28088535],[ 0.52378178 21.53319836 25.92712879],[ 0.52378178 21.53319836 25.92712879],[ 0.   21.25 25.  ],95.28088534530903,10.0,0.03822424697103177
-0.005778006503371734,1,1.749161,-0.005778006503371734,nan,nan,[2205.75551949 1834.54388605 2318.31090364],nan,[6358.97773132],[95.12313211 74.25410115 71.43255078],[95.12313211 74.25410115 71.43255078],[95.53577745 74.28577745 71.78577745],[ 0.41264534 21.28167629 24.10322666],[ 0.41264534 21.28167629 24.10322666],[ 0.   21.25 23.75],95.53577744509893,10.0,0.05050397473404222
-0.010139628374515975,1,1.994459,-0.010139628374515975,nan,nan,[2160.7353588  1725.42679118 2271.94257951],nan,[6158.72920175],[94.38545192 72.10759128 69.38108886],[94.38545192 72.10759128 69.38108886],[94.84201873 72.34201873 69.84201873],[ 0.45656681 22.73442745 25.46092987],[ 0.45656681 22.73442745 25.46092987],[ 0.  22.5 25. ],94.84201873127193,10.0,0.047395976593210085
-0.003346650406542074,1,1.99491,-0.003346650406542074,nan,nan,[2101.34676199 1767.30891568 2290.87293024],nan,[6159.73475271],[94.59054328 73.96447993 69.93655301],[94.59054328 73.96447993 69.93655301],[94.85222674 73.60222674 69.85222674],[ 0.26168346 20.88774681 24.91567373],[ 0.26168346 20.88774681 24.91567373],[ 0.   21.25 25.  ],94.85222674028047,10.0,0.06717151283369616
-0.0070489047678796695,1,1.99524,-0.0070489047678796695,nan,nan,[1688.27374132 1014.10699425 2135.5947242 ],nan,[4838.31650809],[90.09160487 60.70504157 61.47483317],[90.09160487 60.70504157 61.47483317],[90.55890051 61.80890051 61.80890051],[ 0.46729565 29.85385895 29.08406734],[ 0.46729565 29.85385895 29.08406734],[ 0.   28.75 28.75],90.55890051312076,10.0,0.04764365626959777
-0.05683664013088424,1,1.995525,-0.05683664013088424,nan,nan,[2197.99150605 1672.39306708 2261.73770233],nan,[6135.60954977],[94.16572973 70.23974821 69.00662825],[94.16572973 70.23974821 69.00662825],[94.75664541 71.00664541 69.75664541],[ 0.59091568 24.5168972  25.75001717],[ 0.59091568 24.5168972  25.75001717],[ 0.   23.75 25.  ],94.7566454136688,10.0,0.03559627586015714
-0.02735905300478075,1,1.995813,-0.02735905300478075,nan,nan,[2070.54633256 1328.34846876 2221.6680042 ],nan,[5622.1009591],[92.39190341 64.12809135 66.17125274],[92.39190341 64.12809135 66.17125274],[93.02591563 65.52591563 66.77591563],[ 0.63401222 28.89782429 26.8546629 ],[ 0.63401222 28.89782429 26.8546629 ],[ 0.   27.5  26.25],93.02591563330603,10.0,0.03436705117487837
