number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_target_entropy_multiplier,params_train_freq,state
44,0.29617775885438224,2025-11-22 09:16:31.837336,2025-11-22 11:30:09.541114,0 days 02:13:37.703778,0.13980894679036482,7.548344658802997e-06,1,11,COMPLETE
45,0.22120755970410738,2025-11-22 09:16:37.964996,2025-11-22 11:30:21.606322,0 days 02:13:43.641326,0.1361101819853254,9.438652858959026e-06,1,11,COMPLETE
46,1.1332788458681733,2025-11-22 09:16:54.081728,2025-11-22 11:30:54.213435,0 days 02:14:00.131707,0.1342957978792731,2.4346332601677232e-05,1,11,COMPLETE
47,0.9390539186665122,2025-11-22 09:16:59.372356,2025-11-22 11:30:03.250386,0 days 02:13:03.878030,0.14387869814671833,7.780814023874042e-06,1,11,COMPLETE
48,0.5367969528539668,2025-11-22 09:17:00.754335,2025-11-22 11:30:10.596076,0 days 02:13:09.841741,0.1577921919033061,7.502346191988006e-06,1,11,COMPLETE
49,-0.3801597070888471,2025-11-22 09:17:05.247094,2025-11-22 11:30:36.954425,0 days 02:13:31.707331,0.13190263414702497,6.011663921084999e-06,1,11,COMPLETE
50,0.4668125801018018,2025-11-22 11:27:46.469288,2025-11-22 12:45:55.971863,0 days 01:18:09.502575,0.06979691680259294,3.436870216873453e-06,1,21,COMPLETE
51,1.0571168577857397,2025-11-22 11:28:12.295324,2025-11-22 12:46:00.258355,0 days 01:17:47.963031,0.0789340080533956,4.459010574707727e-06,1,21,COMPLETE
52,0.6449428013203993,2025-11-22 11:28:14.966417,2025-11-22 12:45:33.682496,0 days 01:17:18.716079,0.07699885707607841,4.052443053609913e-06,1,21,COMPLETE
53,0.3282089344829768,2025-11-22 11:28:15.019884,2025-11-22 12:46:13.984424,0 days 01:17:58.964540,0.0684582129308721,3.6372077881500764e-06,1,21,COMPLETE
54,-0.19122233877132327,2025-11-22 11:28:16.402109,2025-11-22 12:46:00.723370,0 days 01:17:44.321261,0.07361701024048163,3.9423706072596846e-06,1,21,COMPLETE
55,0.39011570703394743,2025-11-22 11:28:17.203010,2025-11-22 12:45:30.844614,0 days 01:17:13.641604,0.07188068339215374,3.985065928958923e-06,1,21,COMPLETE
56,0.5195724647831124,2025-11-22 11:28:23.438428,2025-11-22 12:45:53.767060,0 days 01:17:30.328632,0.07985872563637471,3.892926300848337e-06,1,21,COMPLETE
57,-0.2831718184467444,2025-11-22 11:28:30.791277,2025-11-22 12:45:25.044806,0 days 01:16:54.253529,0.07461273126889613,3.7867979056384746e-06,1,21,COMPLETE
58,0.8060746461991884,2025-11-22 11:28:38.596653,2025-11-22 12:45:36.545813,0 days 01:16:57.949160,0.0712246670566563,3.71982097907845e-06,1,21,COMPLETE
59,0.6731538034597432,2025-11-22 11:28:43.351124,2025-11-22 12:45:37.977781,0 days 01:16:54.626657,0.06035607763385658,3.5939137053513244e-06,1,21,COMPLETE
60,0.8779674902549481,2025-11-22 11:28:45.859831,2025-11-22 12:45:37.577198,0 days 01:16:51.717367,0.07535378285427866,3.855545369068577e-06,1,21,COMPLETE
61,0.2904313981006635,2025-11-22 11:28:50.933493,2025-11-22 12:46:01.199747,0 days 01:17:10.266254,0.06944555615165705,3.7875079937901825e-06,1,21,COMPLETE
62,0.47901573908731093,2025-11-22 11:30:03.252381,2025-11-22 12:44:08.990191,0 days 01:14:05.737810,0.07410858192473471,4.009361918545929e-06,1,11,COMPLETE
63,1.073782972894988,2025-11-22 11:30:09.544331,2025-11-22 12:45:39.236076,0 days 01:15:29.691745,0.07476031395242497,3.906732021028262e-06,1,21,COMPLETE
64,1.089808314326746,2025-11-22 11:30:10.597426,2025-11-22 12:46:18.739083,0 days 01:16:08.141657,0.07710290766560832,4.194781201274054e-06,1,21,COMPLETE
