number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
55,-2.232963839156986,2025-11-22 12:47:15.263430,2025-11-22 13:54:39.665251,0 days 01:07:24.401821,0.041241547002196836,0.0009644785191091641,77,1,COMPLETE
56,-1.4756683325262734,2025-11-22 12:47:20.182130,2025-11-22 13:54:02.767522,0 days 01:06:42.585392,0.043819104715583555,0.0009845943778193473,78,1,COMPLETE
57,-2.84905276938575,2025-11-22 12:47:30.817811,2025-11-22 13:57:01.800667,0 days 01:09:30.982856,0.04271873933188525,0.0005083071932467017,77,1,COMPLETE
58,-0.31728503834975835,2025-11-22 12:47:56.149154,2025-11-22 13:57:00.144061,0 days 01:09:03.994907,0.04090585727507092,0.0011522272822410441,76,1,COMPLETE
59,-2.7426263991332624,2025-11-22 12:48:03.772940,2025-11-22 13:56:21.007196,0 days 01:08:17.234256,0.04115171382397862,0.0005044553397236301,118,1,COMPLETE
60,-3.4416229332826824,2025-11-22 12:48:11.540563,2025-11-22 13:56:14.449880,0 days 01:08:02.909317,0.04220925653136561,0.0011219862850995392,118,1,COMPLETE
61,-2.44669109820498,2025-11-22 12:48:15.724445,2025-11-22 13:56:55.230326,0 days 01:08:39.505881,0.03924865077677608,0.00041160832853449664,75,1,COMPLETE
62,-1.7851029529762654,2025-11-22 12:48:19.593313,2025-11-22 13:55:59.783639,0 days 01:07:40.190326,0.04192102272285814,0.0009875201837239538,118,1,COMPLETE
63,-0.7907748771905974,2025-11-22 12:48:20.105102,2025-11-22 13:57:06.839526,0 days 01:08:46.734424,0.1967135563772067,0.0009917124530574987,78,1,COMPLETE
64,-1.6484949621273615,2025-11-22 12:48:22.281772,2025-11-22 13:56:21.076932,0 days 01:07:58.795160,0.04242660520878163,0.0009870759573418141,116,1,COMPLETE
65,-0.609915891811579,2025-11-22 12:48:24.540034,2025-11-22 13:57:11.467413,0 days 01:08:46.927379,0.03904412701935551,0.0005318125551025004,81,1,COMPLETE
66,-5.424210647895712,2025-11-22 12:48:24.913014,2025-11-22 13:56:04.600267,0 days 01:07:39.687253,0.03239284333564399,0.0005794592395985423,115,1,COMPLETE
67,-1.1677656603205495,2025-11-22 12:48:25.601130,2025-11-22 13:57:17.441291,0 days 01:08:51.840161,0.04214739255219766,0.001218267250797361,77,1,COMPLETE
68,-4.1006215724507165,2025-11-22 12:48:25.867795,2025-11-22 13:57:00.266712,0 days 01:08:34.398917,0.045143431150769985,0.0036629916311967593,76,1,COMPLETE
69,-2.3588636789426363,2025-11-22 12:48:26.546817,2025-11-22 13:56:33.285658,0 days 01:08:06.738841,0.039137939568946845,0.00105149961069912,117,1,COMPLETE
70,-2.308372631083498,2025-11-22 12:48:26.891333,2025-11-22 13:56:59.679748,0 days 01:08:32.788415,0.03853312945472006,0.0010548980299591054,78,1,COMPLETE
71,0.29802867424220714,2025-11-22 12:48:33.125429,2025-11-22 13:56:19.487812,0 days 01:07:46.362383,0.04024100658026029,0.00120586526470349,117,1,COMPLETE
72,-2.5148324548355396,2025-11-22 12:48:37.325296,2025-11-22 13:56:02.391434,0 days 01:07:25.066138,0.03559349339718251,0.0010593506693948986,115,1,COMPLETE
73,0.3903681589373284,2025-11-22 12:48:38.040493,2025-11-22 13:56:26.661657,0 days 01:07:48.621164,0.04355561178272098,0.001235763366404702,117,1,COMPLETE
74,0.43923217682477506,2025-11-22 12:49:07.520171,2025-11-22 13:56:29.798222,0 days 01:07:22.278051,0.1740628125622495,0.0012134655863347305,118,1,COMPLETE
75,-4.476066435594599,2025-11-22 12:50:52.064115,2025-11-22 13:56:44.857357,0 days 01:05:52.793242,0.04055453564091372,0.0010628995201152926,117,1,COMPLETE
76,-1.7391006826809614,2025-11-22 12:51:06.304862,2025-11-22 13:56:49.582635,0 days 01:05:43.277773,0.04200592256074971,0.0010808508109373715,116,1,COMPLETE
77,-5.762822734148045,2025-11-22 13:54:01.298056,2025-11-22 14:00:53.444446,0 days 00:06:52.146390,0.025447803388881727,0.0006279160458904278,128,1,COMPLETE
78,-2.6934614622207653,2025-11-22 13:54:02.770048,2025-11-22 14:01:57.773019,0 days 00:07:55.002971,0.023249706793213334,0.0003711098390182823,49,1,COMPLETE
79,-3.321703508249405,2025-11-22 13:54:10.470020,2025-11-22 14:00:56.370257,0 days 00:06:45.900237,0.026837175081181556,0.0005855769253677868,125,1,COMPLETE
80,-2.8471248744156292,2025-11-22 13:54:26.321452,2025-11-22 14:01:16.723308,0 days 00:06:50.401856,0.377590705741015,0.0005243619699100885,129,1,COMPLETE
81,-2.9908699438480855,2025-11-22 13:54:39.667409,2025-11-22 14:01:22.166666,0 days 00:06:42.499257,0.021770656621358107,0.0006122665356811131,123,1,COMPLETE
82,0.7502111316709995,2025-11-22 13:55:59.785550,2025-11-22 14:12:41.963337,0 days 00:16:42.177787,0.09931458026618614,0.002738744400558622,147,1,COMPLETE
83,-1.4684364184728753,2025-11-22 13:56:02.392764,2025-11-22 14:12:47.862620,0 days 00:16:45.469856,0.11014451727733371,0.002588210864985258,136,1,COMPLETE
84,-1.055426031546624,2025-11-22 13:56:04.601582,2025-11-22 14:12:41.624957,0 days 00:16:37.023375,0.11555040158272425,0.002854847408732164,144,1,COMPLETE
85,-0.9849287296764706,2025-11-22 13:56:14.452093,2025-11-22 14:15:38.189908,0 days 00:19:23.737815,0.1108132807895629,0.0027122583067003755,147,1,COMPLETE
86,-0.5591525487551542,2025-11-22 13:56:19.489636,2025-11-22 14:15:59.029558,0 days 00:19:39.539922,0.10996186514855212,0.0027932676353192095,139,1,COMPLETE
87,-0.9776250084446608,2025-11-22 13:56:21.008524,2025-11-22 14:15:53.237362,0 days 00:19:32.228838,0.11429431857984235,0.0027111050272179077,140,1,COMPLETE
88,-0.4551964856131957,2025-11-22 13:56:21.078793,2025-11-22 14:15:36.478383,0 days 00:19:15.399590,0.10378918581037902,0.0028010270883031953,140,1,COMPLETE
89,-3.9529580484539713,2025-11-22 13:56:26.663725,2025-11-22 14:15:39.628663,0 days 00:19:12.964938,0.11932847075893933,0.0015347779191245226,139,1,COMPLETE
90,-1.2035279134201256,2025-11-22 13:56:29.799653,2025-11-22 14:15:57.043500,0 days 00:19:27.243847,0.11097531728718565,0.0028360153767538676,138,1,COMPLETE
91,0.1605666100214753,2025-11-22 13:56:33.287655,2025-11-22 14:16:31.117105,0 days 00:19:57.829450,0.10336857323168809,0.0027309065239207,138,1,COMPLETE
92,-2.386318640001944,2025-11-22 13:56:44.859892,2025-11-22 14:17:06.378091,0 days 00:20:21.518199,0.12589352944459747,0.002771340201441209,88,1,COMPLETE
93,-0.02284801445894675,2025-11-22 13:56:49.584352,2025-11-22 14:16:26.371390,0 days 00:19:36.787038,0.12345802263912739,0.010452208551692096,139,1,COMPLETE
94,-0.774488459130138,2025-11-22 13:56:55.232199,2025-11-22 14:16:26.801448,0 days 00:19:31.569249,0.11171943471398242,0.011511389645964935,138,1,COMPLETE
95,-0.1205178009775712,2025-11-22 13:56:59.681427,2025-11-22 14:16:14.656112,0 days 00:19:14.974685,0.10960258555752707,0.0027659342540537475,138,1,COMPLETE
96,-0.9431820226323733,2025-11-22 13:57:00.145178,2025-11-22 14:16:04.717249,0 days 00:19:04.572071,0.12226908273598214,0.002642647791828733,140,1,COMPLETE
97,-0.9283240163141405,2025-11-22 13:57:00.267752,2025-11-22 14:16:21.658269,0 days 00:19:21.390517,0.10921294575962616,0.002754806256921819,141,1,COMPLETE
98,-0.4373147384371167,2025-11-22 13:57:01.801869,2025-11-22 14:16:22.840951,0 days 00:19:21.039082,0.11279566603869055,0.0015523286360006087,139,1,COMPLETE
99,-3.199641313654126,2025-11-22 13:57:06.841712,2025-11-22 14:16:33.945032,0 days 00:19:27.103320,0.12207128251889918,0.01162025848330071,139,1,COMPLETE
