number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
47,-0.09645220619794338,2025-11-22 09:20:05.632919,2025-11-22 11:24:52.724491,0 days 02:04:47.091572,0.7993743554781549,0.009548907748480544,40,1,COMPLETE
48,-0.45255136417848063,2025-11-22 09:20:05.955868,2025-11-22 11:24:42.954806,0 days 02:04:36.998938,0.7924324665032889,0.009253798328584218,54,1,COMPLETE
49,-1.5815208830975511,2025-11-22 09:20:06.018475,2025-11-22 11:25:06.784039,0 days 02:05:00.765564,0.015166494935433891,0.007935500612149963,43,1,COMPLETE
50,-0.20347077529715757,2025-11-22 11:23:06.793736,2025-11-22 12:26:22.634871,0 days 01:03:15.841135,0.386232160038182,0.004799316707247127,22,1,COMPLETE
51,-1.3006427097933693,2025-11-22 11:23:14.596627,2025-11-22 12:26:25.809719,0 days 01:03:11.213092,0.36983877769578394,0.016197614346478505,23,1,COMPLETE
52,-2.525498809891604,2025-11-22 11:23:22.719288,2025-11-22 12:26:31.889357,0 days 01:03:09.170069,0.39126552753915855,0.017157306384588143,24,1,COMPLETE
53,-1.5421300489372127,2025-11-22 11:23:24.657575,2025-11-22 12:26:08.192538,0 days 01:02:43.534963,0.37455184132903574,0.01603888091203464,30,1,COMPLETE
54,-0.858254044726114,2025-11-22 11:23:28.216195,2025-11-22 12:32:05.074029,0 days 01:08:36.857834,0.3217828471084278,0.020270808700774523,29,1,COMPLETE
55,-0.7929327814266556,2025-11-22 11:23:29.466437,2025-11-22 12:32:14.679873,0 days 01:08:45.213436,0.39652921729278445,0.017921687208020454,28,1,COMPLETE
56,-1.2297666888120098,2025-11-22 11:23:31.898564,2025-11-22 12:32:01.574574,0 days 01:08:29.676010,0.38719736490357354,0.015617363012719569,27,1,COMPLETE
57,-1.214818749166008,2025-11-22 11:23:36.202494,2025-11-22 12:31:53.821051,0 days 01:08:17.618557,0.3552184527781735,0.017934924054653984,22,1,COMPLETE
58,-1.1370654296869538,2025-11-22 11:23:49.746150,2025-11-22 12:35:03.213111,0 days 01:11:13.466961,0.32882495905148706,0.016235049483514213,27,1,COMPLETE
59,-1.001190846954968,2025-11-22 11:23:50.575245,2025-11-22 12:35:13.871832,0 days 01:11:23.296587,0.38174469142031225,0.016531293820063027,25,1,COMPLETE
60,-0.6396538276435058,2025-11-22 11:23:52.369390,2025-11-22 12:34:59.854228,0 days 01:11:07.484838,0.3036795536732689,0.016053908223498656,26,1,COMPLETE
61,-0.5921736214246889,2025-11-22 11:23:55.630912,2025-11-22 12:35:11.147637,0 days 01:11:15.516725,0.34925963050438197,0.017209479534051164,29,1,COMPLETE
62,-0.997721118181131,2025-11-22 11:24:09.041348,2025-11-22 12:35:09.171277,0 days 01:11:00.129929,0.3799346043506603,0.018694403053676242,25,1,COMPLETE
63,-1.192094788726359,2025-11-22 11:24:13.252393,2025-11-22 12:35:17.586344,0 days 01:11:04.333951,0.41561324099094793,0.014967293767786428,29,1,COMPLETE
64,-0.7658292110245258,2025-11-22 11:24:42.957086,2025-11-22 12:35:52.285952,0 days 01:11:09.328866,0.2578445863170709,0.005293394920414009,88,1,COMPLETE
65,-1.0167092540649685,2025-11-22 11:24:42.998994,2025-11-22 12:35:47.146687,0 days 01:11:04.147693,0.495892257990803,0.004900325049631516,71,1,COMPLETE
66,-0.9656215373346662,2025-11-22 11:24:52.655818,2025-11-22 12:35:48.951668,0 days 01:10:56.295850,0.26815022246253656,0.005078174083086033,70,1,COMPLETE
67,-0.37889148889442165,2025-11-22 11:24:52.725725,2025-11-22 12:35:02.940227,0 days 01:10:10.214502,0.24812329529032834,0.005123819533802374,92,1,COMPLETE
68,-0.9126968873086119,2025-11-22 11:24:54.688878,2025-11-22 12:35:30.716211,0 days 01:10:36.027333,0.2569654201256377,0.0050778190114172,90,1,COMPLETE
69,0.1430859638118316,2025-11-22 11:25:02.753405,2025-11-22 12:35:45.562812,0 days 01:10:42.809407,0.2394948574709366,0.005160493399637267,84,1,COMPLETE
70,-0.5952210398286615,2025-11-22 11:25:06.785209,2025-11-22 12:35:47.928768,0 days 01:10:41.143559,0.2815480661537985,0.005179117437770422,86,1,COMPLETE
71,-6.634541691010421,2025-11-22 11:25:07.382398,2025-11-22 12:35:45.550313,0 days 01:10:38.167915,0.24185757834484592,0.031057620758960135,90,1,COMPLETE
72,-0.2117806860358633,2025-11-22 11:25:09.805904,2025-11-22 12:35:51.556021,0 days 01:10:41.750117,0.22948765879817226,0.005368402083540312,73,1,COMPLETE
73,-1.2687687776607104,2025-11-22 11:25:10.471652,2025-11-22 12:35:34.889323,0 days 01:10:24.417671,0.4703615050013741,0.0053207644619969715,91,1,COMPLETE
74,-0.5876678136841255,2025-11-22 11:25:12.993393,2025-11-22 12:35:45.228225,0 days 01:10:32.234832,0.47375793029772734,0.005168398701836167,91,1,COMPLETE
75,-3.112758613181907,2025-11-22 12:26:08.197674,2025-11-22 12:55:33.456216,0 days 00:29:25.258542,0.619652279155428,0.0026240519465348076,56,1,COMPLETE
76,-2.8073988911158314,2025-11-22 12:26:22.637607,2025-11-22 12:55:30.760239,0 days 00:29:08.122632,0.6119119919271799,0.0030519133217974926,54,1,COMPLETE
77,-2.690855824619561,2025-11-22 12:26:25.811110,2025-11-22 12:55:35.288065,0 days 00:29:09.476955,0.6185023447820267,0.003213039009305825,55,1,COMPLETE
78,-3.1743888106947504,2025-11-22 12:26:31.892181,2025-11-22 12:55:32.344015,0 days 00:29:00.451834,0.5957007472178766,0.00243359507921583,54,1,COMPLETE
79,-0.5788891298965845,2025-11-22 12:31:53.825871,2025-11-22 13:29:06.632036,0 days 00:57:12.806165,0.16978044919176116,0.010938094514487353,36,1,COMPLETE
80,-0.0018084815971124541,2025-11-22 12:32:01.575913,2025-11-22 13:29:21.543931,0 days 00:57:19.968018,0.8979510420755273,0.010933249144038116,12,1,COMPLETE
81,-0.4608034568244905,2025-11-22 12:32:05.075863,2025-11-22 13:29:26.598114,0 days 00:57:21.522251,0.14417101509900648,0.011871764498317814,11,1,COMPLETE
82,-1.4662822034159162,2025-11-22 12:32:14.684296,2025-11-22 13:29:01.220944,0 days 00:56:46.536648,0.13043652310120477,0.010887468212882051,12,1,COMPLETE
83,-0.684237200097876,2025-11-22 12:34:59.856472,2025-11-22 13:35:31.438266,0 days 01:00:31.581794,0.14480802718500796,0.006321678834172125,35,1,COMPLETE
84,-1.104145146426919,2025-11-22 12:35:02.941758,2025-11-22 13:35:41.738599,0 days 01:00:38.796841,0.12311365246849147,0.011195923633001956,35,1,COMPLETE
85,-1.0855032096472406,2025-11-22 12:35:03.214423,2025-11-22 13:35:34.994929,0 days 01:00:31.780506,0.13594928084845714,0.01257843841128767,17,1,COMPLETE
86,-0.9041916219007616,2025-11-22 12:35:09.173294,2025-11-22 13:35:47.123929,0 days 01:00:37.950635,0.12062150973414652,0.011657063965578392,13,1,COMPLETE
87,-0.5585413704601594,2025-11-22 12:35:11.149390,2025-11-22 13:36:03.015702,0 days 01:00:51.866312,0.19243039726012073,0.0118318128527414,17,1,COMPLETE
88,-0.972383130120385,2025-11-22 12:35:13.874590,2025-11-22 13:35:59.635730,0 days 01:00:45.761140,0.1562765299808836,0.012109402726734693,12,1,COMPLETE
89,0.047152269604327765,2025-11-22 12:35:17.587833,2025-11-22 13:35:56.427561,0 days 01:00:38.839728,0.17962204298748569,0.011453959559190428,34,1,COMPLETE
90,-2.4879972453229042,2025-11-22 12:35:30.718659,2025-11-22 13:36:02.272337,0 days 01:00:31.553678,0.13602860579171366,0.012383982359763821,13,1,COMPLETE
91,-1.515092106479902,2025-11-22 12:35:34.891001,2025-11-22 13:35:42.860419,0 days 01:00:07.969418,0.12153088939747941,0.011875412425064501,15,1,COMPLETE
92,0.07234155518058538,2025-11-22 12:35:45.229509,2025-11-22 13:35:28.452352,0 days 00:59:43.222843,0.13331319343720777,0.011353917208164198,35,1,COMPLETE
93,-0.7345635419452983,2025-11-22 12:35:45.551498,2025-11-22 13:35:59.094746,0 days 01:00:13.543248,0.8957470566354139,0.011436847905534377,16,1,COMPLETE
94,-0.5126095091254367,2025-11-22 12:35:45.563945,2025-11-22 13:36:13.572559,0 days 01:00:28.008614,0.20409461389248512,0.011791612864077634,11,1,COMPLETE
95,0.0623731491881437,2025-11-22 12:35:47.147854,2025-11-22 13:35:02.311566,0 days 00:59:15.163712,0.1457742831578195,0.01121782920989506,34,1,COMPLETE
96,-1.9767764345952201,2025-11-22 12:35:47.929817,2025-11-22 13:35:58.790693,0 days 01:00:10.860876,0.1331503405961884,0.012664034504606698,14,1,COMPLETE
97,-0.7542343544583469,2025-11-22 12:35:48.952641,2025-11-22 13:36:01.054403,0 days 01:00:12.101762,0.1421146261259076,0.003801839375433325,35,1,COMPLETE
98,-0.9000671515740657,2025-11-22 12:35:51.556926,2025-11-22 13:35:40.670649,0 days 00:59:49.113723,0.13712544566315915,0.01131647890893162,36,1,COMPLETE
99,-1.1574344933516172,2025-11-22 12:35:52.287004,2025-11-22 13:36:08.188456,0 days 01:00:15.901452,0.186621038580284,0.01113486206483859,15,1,COMPLETE
