number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,state
85,-2.3781462329229788,2025-11-21 15:29:22.463504,2025-11-21 16:14:08.745302,0 days 00:44:46.281798,0.01536912414603123,0.003122803813470653,151,COMPLETE
86,-2.503446573458836,2025-11-21 15:29:28.713317,2025-11-21 16:14:21.147745,0 days 00:44:52.434428,0.01417609804982752,0.003224636444807708,139,COMPLETE
87,-1.12105410364072,2025-11-21 15:29:30.420092,2025-11-21 16:14:02.369620,0 days 00:44:31.949528,0.0038685733282943086,0.0033738897692019913,149,COMPLETE
88,-1.5896508561982248,2025-11-21 15:29:34.856494,2025-11-21 16:14:16.121459,0 days 00:44:41.264965,0.0037839978752429964,0.0031444461526198074,149,COMPLETE
89,-1.0117008639675131,2025-11-21 15:29:46.896930,2025-11-21 16:14:11.151935,0 days 00:44:24.255005,0.003955328014062358,0.0036287612423290235,150,COMPLETE
90,-0.5187297394885785,2025-11-21 15:29:49.136772,2025-11-21 16:14:28.439753,0 days 00:44:39.302981,0.00395066600480945,0.0032225849771693785,139,COMPLETE
91,-2.427502963678818,2025-11-21 15:29:50.634265,2025-11-21 16:14:38.609245,0 days 00:44:47.974980,0.003873726090949887,0.0031850995354405125,139,COMPLETE
92,-0.34286606200267733,2025-11-21 15:30:01.972668,2025-11-21 16:15:00.611517,0 days 00:44:58.638849,0.015069217699037893,0.0033131891191502784,92,COMPLETE
93,-3.2735202457918957,2025-11-21 15:30:09.005594,2025-11-21 16:14:41.419780,0 days 00:44:32.414186,0.0034646566407157547,0.0037461176217106914,95,COMPLETE
94,-0.14680661982536625,2025-11-21 15:30:32.587850,2025-11-21 16:15:04.496145,0 days 00:44:31.908295,0.014422564444289044,0.0031443880525904534,92,COMPLETE
95,-3.1604306205327246,2025-11-21 15:30:36.671491,2025-11-21 16:13:57.972777,0 days 00:43:21.301286,0.0037628741583166157,0.0030772552815437806,140,COMPLETE
96,-1.3086326561370225,2025-11-21 15:30:38.513878,2025-11-21 16:14:08.887323,0 days 00:43:30.373445,0.014756513959100395,0.0035724192221811934,151,COMPLETE
97,-0.2696636338688544,2025-11-21 15:30:39.915690,2025-11-21 16:14:42.098412,0 days 00:44:02.182722,0.003695692429357119,0.0035433818375683207,91,COMPLETE
98,-0.5553660518796858,2025-11-21 15:30:41.508337,2025-11-21 16:14:20.883272,0 days 00:43:39.374935,0.01476788333723815,0.003284725071858688,139,COMPLETE
99,-0.9429173567723403,2025-11-21 15:30:43.174208,2025-11-21 16:14:04.898276,0 days 00:43:21.724068,0.003667245933533158,0.006693331880297287,148,COMPLETE
