#{"t_start": 1757885500.709653, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-42.465218,1,40403.755505,-2805.938270912422,"[2276.8889983996683, 821.0115646893981, 0.0]",5384.396238102012,5384.396238102012,[91.25712307 57.76730181 64.70098007],[83.2653904  73.02986622 61.11255169],[90.   61.25 60.  ],[-1.25712307 32.23269819 25.29901993],[ 6.7346096  16.97013378 28.88744831],[ 0.   28.75 30.  ],90.0,10.0,0.05
-33.577957,1,40403.756052,-2862.323780417002,"[2522.377611316917, 2125.1063603916996, 0.0]",6996.900212088641,6996.900212088641,[92.61525162 75.77334143 74.83977401],[84.62351894 91.03590584 71.25134563],[96.  76.  73.5],[ 3.38474838 20.22665857 21.16022599],[11.37648106  4.96409416 24.74865437],[ 0.  20.  22.5],96.0,10.0,0.05
-43.07227,1,40403.75631,-2849.7392857751965,"[2445.843653000395, 928.382961889205, 0.0]",5927.210961873994,5927.210961873994,[93.04487331 59.29470851 68.96386802],[85.05314064 74.55727291 65.37543964],[92.  62.  64.5],[-1.04487331 32.70529149 23.03613198],[ 6.94685936 17.44272709 26.62456036],[ 0.  30.  27.5],92.0,10.0,0.025
-33.75144,1,40403.756544,-2838.4273930390445,"[2660.2280251292395, 1583.3453079984652, 0.0]",6405.5328938379225,6405.5328938379225,[93.96156605 68.19101597 72.25482357],[85.96983337 83.45358038 68.66639519],[94. 69. 69.],[ 0.03843395 25.80898403 21.74517643],[ 8.03016663 10.54641962 25.33360481],[ 0. 25. 25.],94.0,10.0,0.025
-28.512247,1,40403.756775,-2853.747442219013,"[2853.740181643383, 2148.1865772087226, 0.0]",6996.900212088641,6996.900212088641,[92.96941288 75.56890704 76.44657695],[84.97768021 90.83147144 72.85814857],[96.  76.  73.5],[ 3.03058712 20.43109296 19.55342305],[11.02231979  5.16852856 23.14185143],[ 0.  20.  22.5],96.0,10.0,0.05
-36.6891,1,40403.757005,-2870.8585694827398,"[2657.6106648932528, 1799.835701141041, 0.0]",7040.566836348752,7040.566836348752,[92.02849872 77.08067156 76.62411773],[84.03676605 92.34323597 73.03568935],[96.   76.   74.75],[ 3.97150128 18.91932844 19.37588227],[11.96323395  3.65676403 22.96431065],[ 0.   20.   21.25],96.0,10.0,0.075
-29.645435,1,40403.757264,-2925.168392321033,"[2632.1466929301223, 2290.491929567606, 0.0]",6996.900212088641,6996.900212088641,[93.50125797 76.01694085 74.58686912],[85.5095253  91.27950525 70.99844074],[96.  76.  73.5],[ 2.49874203 19.98305915 21.41313088],[10.4904747   4.72049475 25.00155926],[ 0.  20.  22.5],96.0,10.0,0.05
-29.584757,1,40403.757498,-2920.159307670966,"[2652.6892826587336, 2274.1950372701385, 0.0]",6996.900212088641,6996.900212088641,[91.98672302 75.42989947 72.45146358],[83.99499035 90.69246387 68.8630352 ],[96.  76.  73.5],[ 4.01327698 20.57010053 23.54853642],[12.00500965  5.30753613 27.1369648 ],[ 0.  20.  22.5],96.0,10.0,0.05
-36.043396,1,40403.757734,-2852.2199576182747,"[2373.1667033492417, 1756.5436788650125, 0.0]",6457.050665070418,6457.050665070418,[92.59824093 70.01840617 70.34623039],[84.60650826 85.28097057 66.75780201],[94.   70.25 69.  ],[ 1.40175907 23.98159383 23.65376961],[ 9.39349174  8.71902943 27.24219799],[ 0.   23.75 25.  ],94.0,10.0,0.075
-28.939428,1,40403.757964,-2916.4276903257705,"[2690.479302583807, 1897.9378309055733, 0.0]",6457.050665070418,6457.050665070418,[91.49401005 74.50412537 70.52768123],[83.50227737 89.76668978 66.93925285],[94.   70.25 69.  ],[ 2.50598995 19.49587463 23.47231877],[10.49772263  4.23331022 27.06074715],[ 0.   23.75 25.  ],94.0,10.0,0.075
