#{"t_start": 1755768998.3144464, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
8.151785,1,1669.834832,-5.38694726795941,"[2753.5333179390627, 2315.300784774803, 2782.483251134573]",7259.535593727533,7259.535593727533,[102.11318019  81.77037811  76.36689033],[94.48246574 76.86738825 73.03255653],[96.  76.  73.5],[-6.11318019 14.22962189 19.63310967],[ 1.51753426 19.13261175 22.96744347],[ 0.  20.  22.5],96.0,10.0,0.05
-3.2528012,1,2231.483527,-15.136482581329497,"[2505.326971320327, 1630.0467420026173, 2322.882909742916]",6675.393914287828,6675.393914287828,[102.68368295  71.73426771  71.30638256],[95.0529685  66.83127785 67.97204876],[94. 69. 69.],[-8.68368295 22.26573229 22.69361744],[-1.0529685  27.16872215 26.02795124],[ 0. 25. 25.],94.0,10.0,0.025
8.798678,1,2231.484052,18.954533521660892,"[2827.809065231465, 2016.5217297156912, 2454.5723952824715]",6708.632226432118,6708.632226432118,[104.86989549  74.00266075  72.52819433],[97.23918104 69.09967089 69.19386053],[94. 69. 69.],[-10.86989549  19.99733925  21.47180567],[-3.23918104 24.90032911 24.80613947],[ 0. 25. 25.],94.0,10.0,0.05
2.6232777,1,2231.484306,2.318609505785999,"[2304.311883868039, 976.6812255798302, 2329.5947414283887]",5467.168837650526,5467.168837650526,[94.45577529 58.04457903 62.29474773],[86.82506084 53.14158916 58.96041393],[90.  57.5 60. ],[-4.45577529 31.95542097 27.70525227],[ 3.17493916 36.85841084 31.03958607],[ 0.  32.5 30. ],90.0,10.0,0.025
-2.4968517,1,2231.484546,-15.552652604510806,"[2544.0432158705867, 2051.9111785884343, 2488.100690456054]",7265.4629093692565,7265.4629093692565,[101.83069232  78.14785337  74.02657833],[94.19997787 73.24486351 70.69224453],[96.   74.75 73.5 ],[-5.83069232 17.85214663 21.97342167],[ 1.80002213 22.75513649 25.30775547],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-5.916079,1,2231.484787,5.97821360731896,"[2715.411820322274, 1363.3170855847218, 1719.4070930158853]",6162.727860477773,6162.727860477773,[101.54838422  71.92473602  67.93001832],[93.91766977 67.02174616 64.59568453],[92.   65.75 64.5 ],[-9.54838422 20.07526398 24.06998168],[-1.91766977 24.97825384 27.40431547],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-8.290202,1,2231.485047,3.583884957589415,"[2666.027768277896, 1588.5720872692686, 1931.0514972036642]",6744.809698019875,6744.809698019875,[102.80763677  79.2274251   75.65116539],[95.17692232 74.32443523 72.31683159],[94.   70.25 69.  ],[-8.80763677 14.7725749  18.34883461],[-1.17692232 19.67556477 21.68316841],[ 0.   23.75 25.  ],94.0,10.0,0.075
8.643396,1,2231.485288,21.225239902800503,"[2857.0239442163493, 1911.259768664763, 2520.202197741964]",6708.632226432118,6708.632226432118,[102.33452133  71.86792994  73.09310092],[94.70380688 66.96494007 69.75876713],[94. 69. 69.],[-8.33452133 22.13207006 20.90689908],[-0.70380688 27.03505993 24.24123287],[ 0. 25. 25.],94.0,10.0,0.05
-0.41677004,1,2231.485519,5.383037931562546,"[2600.3842223363604, 2145.383167873921, 2483.5126340824113]",7259.535593727533,7259.535593727533,[105.20720247  78.20337629  73.02750434],[97.57648802 73.30038643 69.69317055],[96.  76.  73.5],[-9.20720247 17.79662371 22.97249566],[-1.57648802 22.69961357 26.30682945],[ 0.  20.  22.5],96.0,10.0,0.05
2.854261,1,2231.485746,-4.775502925387475,"[2779.9119747114732, 2147.087200273503, 2539.7425059070833]",7259.535593727533,7259.535593727533,[106.09874967  76.9852767   77.09955062],[98.46803522 72.08228683 73.76521683],[96.  76.  73.5],[-10.09874967  19.0147233   18.90044938],[-2.46803522 23.91771317 22.23478317],[ 0.  20.  22.5],96.0,10.0,0.05
