number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_train_freq,state
74,-0.06346077043961415,2025-11-21 08:39:25.944941,2025-11-21 09:06:41.241802,0 days 00:27:15.296861,0.008592968730897346,0.00013050709820050085,5,COMPLETE
75,-0.03326101165246356,2025-11-21 09:06:32.451607,2025-11-21 09:24:51.016942,0 days 00:18:18.565335,0.004294528012744565,4.075191097332027e-05,9,COMPLETE
76,-0.22451458248809508,2025-11-21 09:06:39.557798,2025-11-21 09:24:42.056882,0 days 00:18:02.499084,0.004358754508050845,3.897531456978015e-05,9,COMPLETE
77,0.11475209404855048,2025-11-21 09:06:40.535464,2025-11-21 09:24:26.292788,0 days 00:17:45.757324,0.004859153894398667,4.309346965662443e-05,9,COMPLETE
78,-0.1266853053457099,2025-11-21 09:06:41.243197,2025-11-21 09:24:52.502506,0 days 00:18:11.259309,0.004056577256566828,3.362120491135292e-05,9,COMPLETE
79,0.05266415255915848,2025-11-21 09:06:42.893997,2025-11-21 09:24:37.933005,0 days 00:17:55.039008,0.004068899854239729,4.439625585461181e-05,9,COMPLETE
80,-0.16218225613659332,2025-11-21 09:06:43.608144,2025-11-21 09:24:36.677338,0 days 00:17:53.069194,0.00430869994618975,3.716683421181784e-05,9,COMPLETE
81,-0.08220806322966899,2025-11-21 09:06:45.792148,2025-11-21 09:24:30.948157,0 days 00:17:45.156009,0.004269747170249645,3.7522021998646114e-05,3,COMPLETE
82,0.04084684244430919,2025-11-21 09:06:46.131563,2025-11-21 09:24:19.873594,0 days 00:17:33.742031,0.00516915279232828,4.154375929391212e-05,9,COMPLETE
83,0.1832798762324858,2025-11-21 09:06:52.990209,2025-11-21 09:24:33.257438,0 days 00:17:40.267229,0.004172327958591019,3.967829672606634e-05,9,COMPLETE
84,0.22576533954752295,2025-11-21 09:06:53.223819,2025-11-21 09:24:33.680768,0 days 00:17:40.456949,0.003749733824755512,3.488182485563916e-05,9,COMPLETE
85,-0.17553865747861577,2025-11-21 09:06:53.304460,2025-11-21 09:24:48.241640,0 days 00:17:54.937180,0.0050939846916441284,3.850583425359657e-05,9,COMPLETE
86,-0.07982910232605128,2025-11-21 09:07:01.036196,2025-11-21 09:24:19.412377,0 days 00:17:18.376181,0.0045189809811687414,4.1170069901562844e-05,9,COMPLETE
87,0.08804474153553589,2025-11-21 09:07:07.089275,2025-11-21 09:24:41.733540,0 days 00:17:34.644265,0.0042752185432021654,3.66275983649388e-05,9,COMPLETE
88,-0.11954199389670453,2025-11-21 09:07:09.742449,2025-11-21 09:24:55.837451,0 days 00:17:46.095002,0.004471066310941411,3.994996666879987e-05,9,COMPLETE
89,0.07021633912472028,2025-11-21 09:07:10.586573,2025-11-21 09:24:39.312372,0 days 00:17:28.725799,0.004054696254003975,4.257183762526246e-05,11,COMPLETE
