number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_learning_rate,params_learning_starts,params_target_entropy_multiplier,state
71,2.4428279462241624,2025-11-22 11:40:50.133332,2025-11-22 13:00:14.515531,0 days 01:19:24.382199,0.30137834498726174,0.005655734104592043,42,1,COMPLETE
72,2.63378706104242,2025-11-22 11:40:50.439217,2025-11-22 13:00:08.931770,0 days 01:19:18.492553,0.28831285081310726,0.005697909160909112,41,1,COMPLETE
73,2.3224160968164176,2025-11-22 11:41:02.371933,2025-11-22 13:00:11.585591,0 days 01:19:09.213658,0.2507038607921383,0.005626191635071098,42,1,COMPLETE
74,1.9229144760187624,2025-11-22 11:41:02.589502,2025-11-22 13:00:25.506556,0 days 01:19:22.917054,0.28894236255895495,0.005592884226667842,38,1,COMPLETE
75,2.4785279479998046,2025-11-22 11:44:21.422799,2025-11-22 13:00:50.179275,0 days 01:16:28.756476,0.29888966318432647,0.005613128187425954,35,1,COMPLETE
76,0.7554811346606585,2025-11-22 11:44:34.128688,2025-11-22 13:00:58.310272,0 days 01:16:24.181584,0.28355842907171325,0.005461913903849132,39,1,COMPLETE
77,1.9572798096634743,2025-11-22 12:03:58.661996,2025-11-22 13:01:32.881636,0 days 00:57:34.219640,0.2571813660624306,0.00644063379600665,41,1,COMPLETE
78,2.1619190293187827,2025-11-22 12:51:11.056436,2025-11-22 13:05:09.081602,0 days 00:13:58.025166,0.7335604323017401,0.010442376447272288,26,1,COMPLETE
79,2.0168635847110736,2025-11-22 12:54:20.938290,2025-11-22 13:25:18.498375,0 days 00:30:57.560085,0.5374099223417288,0.009782558990565628,9,1,COMPLETE
80,2.283616629654024,2025-11-22 12:54:27.074754,2025-11-22 13:25:17.704973,0 days 00:30:50.630219,0.4890554251550431,0.008615847217527946,13,1,COMPLETE
81,2.198148095333307,2025-11-22 12:54:31.326684,2025-11-22 13:25:11.539757,0 days 00:30:40.213073,0.49175167762350913,0.008567657607175743,14,1,COMPLETE
82,2.5055709781791347,2025-11-22 12:54:32.820763,2025-11-22 13:25:07.616676,0 days 00:30:34.795913,0.47499009647793244,0.008429836533940022,12,1,COMPLETE
83,2.2694850502512054,2025-11-22 12:54:38.174309,2025-11-22 13:25:05.571040,0 days 00:30:27.396731,0.45819666650571433,0.00844516723570391,16,1,COMPLETE
84,0.8562932054629484,2025-11-22 12:54:46.711754,2025-11-22 13:25:11.596598,0 days 00:30:24.884844,0.5017574110708464,0.007898577118209009,11,1,COMPLETE
85,2.047840228675096,2025-11-22 12:59:51.424520,2025-11-22 13:34:59.235236,0 days 00:35:07.810716,0.20238961028736144,0.007115166275114386,30,1,COMPLETE
86,2.3057677154217395,2025-11-22 13:00:03.261964,2025-11-22 13:34:55.169877,0 days 00:34:51.907913,0.20032906689017235,0.0036718643119905874,30,1,COMPLETE
87,2.3320007248969667,2025-11-22 13:00:03.822707,2025-11-22 13:35:18.252303,0 days 00:35:14.429596,0.20739570728172482,0.003680967931545986,29,1,COMPLETE
88,1.5740439276855422,2025-11-22 13:00:08.933049,2025-11-22 13:35:21.543742,0 days 00:35:12.610693,0.20228993760175026,0.0035730495842398826,2,1,COMPLETE
89,0.7838284132358585,2025-11-22 13:00:11.143028,2025-11-22 13:35:08.872393,0 days 00:34:57.729365,0.207912014300321,0.0036460102251206295,27,1,COMPLETE
90,2.07593737592971,2025-11-22 13:00:11.587408,2025-11-22 13:35:44.328971,0 days 00:35:32.741563,0.20392326989430787,0.0035584445602873565,1,1,COMPLETE
91,1.0514529342399663,2025-11-22 13:00:11.658749,2025-11-22 13:34:55.572495,0 days 00:34:43.913746,0.200569839528631,0.003662038878723879,23,1,COMPLETE
92,2.468166225291245,2025-11-22 13:00:14.516806,2025-11-22 13:35:31.482769,0 days 00:35:16.965963,0.1976333558252111,0.003718805108201909,2,1,COMPLETE
93,1.947052487694245,2025-11-22 13:00:15.018086,2025-11-22 13:35:19.573605,0 days 00:35:04.555519,0.19006436025733242,0.0036925074779559784,29,1,COMPLETE
94,1.764641826165644,2025-11-22 13:00:15.993153,2025-11-22 13:35:20.733489,0 days 00:35:04.740336,0.20242773224882174,0.00345787737918648,28,1,COMPLETE
95,2.2281833768094774,2025-11-22 13:00:19.795528,2025-11-22 13:35:07.483914,0 days 00:34:47.688386,0.20008665640515824,0.01166935533813316,29,1,COMPLETE
96,0.8041636166394145,2025-11-22 13:00:20.141585,2025-11-22 13:35:37.502335,0 days 00:35:17.360750,0.7262476804195342,0.0035997342722513697,2,1,COMPLETE
97,1.6281454234546477,2025-11-22 13:00:21.595118,2025-11-22 13:35:24.041660,0 days 00:35:02.446542,0.1961277705216269,0.0037399763428719495,0,1,COMPLETE
98,1.9447931176546822,2025-11-22 13:00:25.508535,2025-11-22 13:35:22.565863,0 days 00:34:57.057328,0.19700526143365357,0.0035032734972775077,26,1,COMPLETE
99,0.6173960358885654,2025-11-22 13:00:30.235090,2025-11-22 13:35:12.043033,0 days 00:34:41.807943,0.2029991965388758,0.0036983989265261617,24,1,COMPLETE
