#{"t_start": 1757064886.3788307, "env_id": "None"}
r,l,t,r_cumulative,power,power_floris_opt_stochastic,power_floris_opt,yaw_angles_actual,yaw_angles,yaw_angles_floris_opt,rel_yaw_angles_actual,rel_yaw_angles,rel_yaw_angles_floris_opt,wind_dir,wind_spd,turb_int
-9.964535,1,25101.993257,-612.735046601681,"[2448.3042868391376, 0.0, 2419.708353058873]",5406.772348175144,5406.772348175144,[84.47156341 62.26438166 64.34173572],[76.47983074 77.52694607 60.75330734],[90.   62.5  61.25],[ 5.52843659 27.73561834 25.65826428],[13.52016926 12.47305393 29.24669266],[ 0.   27.5  28.75],90.0,10.0,0.075
-16.40067,1,25101.993497,-562.6204393839527,"[2545.6750349551385, 0.0, 3340.1916941745358]",7040.566836348752,7040.566836348752,[91.07251175 72.88402297 77.65812957],[83.08077908 88.14658737 74.06970119],[96.   76.   74.75],[ 4.92748825 23.11597703 18.34187043],[12.91922092  7.85341263 21.93029881],[ 0.   20.   21.25],96.0,10.0,0.075
-3.9487083,1,25101.993732,-526.6440877769005,"[2469.600618678368, 0.0, 2702.1815135813204]",5384.396238102012,5384.396238102012,[87.41987141 58.02203537 63.18661201],[79.42813873 73.28459978 59.59818363],[90.   61.25 60.  ],[ 2.58012859 31.97796463 26.81338799],[10.57186127 16.71540022 30.40181637],[ 0.   28.75 30.  ],90.0,10.0,0.05
-17.101128,1,25101.993964,-544.7522839317486,"[2382.7780075182345, 0.0, 2936.168860353804]",6416.187308523867,6416.187308523867,[90.59651192 64.21852137 70.98296535],[82.60477924 79.48108578 67.39453697],[94. 69. 69.],[ 3.40348808 29.78147863 23.01703465],[11.39522076 14.51891422 26.60546303],[ 0. 25. 25.],94.0,10.0,0.05
-14.997665,1,25542.096308,-665.578068352242,"[2454.8062717685298, 0.0, 2141.0764466867918]",5406.772348175144,5406.772348175144,[88.66990478 57.80482413 64.94147051],[80.67817211 73.06738853 61.35304213],[90.   62.5  61.25],[ 1.33009522 32.19517587 25.05852949],[ 9.32182789 16.93261147 28.64695787],[ 0.   27.5  28.75],90.0,10.0,0.075
-22.526062,1,25542.096817,-599.530401345252,"[2541.6240544517195, 0.0, 2879.150036292854]",6996.900212088641,6996.900212088641,[90.32970913 71.5774367  73.95457828],[82.33797646 86.84000111 70.3661499 ],[96.  76.  73.5],[ 5.67029087 24.4225633  22.04542172],[13.66202354  9.15999889 25.6338501 ],[ 0.  20.  22.5],96.0,10.0,0.05
-9.084818,1,25542.097084,-652.290113224544,"[2577.558656992315, 0.0, 2793.4921169480726]",5907.7599990897115,5907.7599990897115,[89.16809185 60.70917441 69.42768514],[81.17635918 75.97173882 65.83925676],[92.  64.5 64.5],[ 2.83190815 31.29082559 22.57231486],[10.82364082 16.02826118 26.16074324],[ 0.  27.5 27.5],92.0,10.0,0.05
-18.266897,1,25542.097327,-653.8897972585829,"[2593.134392861803, 0.0, 3074.446958073051]",6934.254560608033,6934.254560608033,[91.04478844 70.99838234 75.52198017],[83.05305576 86.26094675 71.93355179],[96.   74.75 73.5 ],[ 4.95521156 25.00161766 20.47801983],[12.94694424  9.73905325 24.06644821],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-10.037627,1,25542.097572,-625.5149782546957,"[2537.7772860672208, 0.0, 2306.153310171368]",5384.396238102012,5384.396238102012,[87.46913345 56.21920229 65.28917062],[79.47740078 71.4817667  61.70074224],[90.   61.25 60.  ],[ 2.53086655 33.78079771 24.71082938],[10.52259922 18.5182333  28.29925776],[ 0.   28.75 30.  ],90.0,10.0,0.05
-19.087637,1,25542.097826,-579.1550432539331,"[2628.4016176490927, 0.0, 3068.2873804915303]",7040.566836348752,7040.566836348752,[91.39425762 71.71385981 76.7303046 ],[83.40252495 86.97642422 73.14187622],[96.   76.   74.75],[ 4.60574238 24.28614019 19.2696954 ],[12.59747505  9.02357578 22.85812378],[ 0.   20.   21.25],96.0,10.0,0.075
-21.190926,1,25542.098066,-633.9259716271566,"[2687.6340664323147, 0.0, 2860.9715302572745]",7040.566836348752,7040.566836348752,[90.50567634 73.2988856  72.85049999],[82.51394367 88.56145    69.26207161],[96.   76.   74.75],[ 5.49432366 22.7011144  23.14950001],[13.48605633  7.43855    26.73792839],[ 0.   20.   21.25],96.0,10.0,0.075
-13.990417,1,25542.098305,-576.6108561384385,"[2433.0629154360668, 0.0, 2653.5780624527924]",5914.039791785825,5914.039791785825,[86.89200981 61.6299565  69.57995355],[78.90027714 76.8925209  65.99152517],[92.   65.75 64.5 ],[ 5.10799019 30.3700435  22.42004645],[13.09972286 15.1074791  26.00847483],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-14.721481,1,25542.098544,-541.3655686866155,"[2237.1427893149603, 0.0, 2354.590584491451]",5384.396238102012,5384.396238102012,[86.82225616 59.21085955 63.95003069],[78.83052349 74.47342396 60.36160231],[90.   61.25 60.  ],[ 3.17774384 30.78914045 26.04996931],[11.16947651 15.52657604 29.63839769],[ 0.   28.75 30.  ],90.0,10.0,0.05
-13.451098,1,25542.098784,-558.2033820165718,"[2468.4844379428314, 0.0, 2661.451563755097]",5927.210961873994,5927.210961873994,[87.62910469 58.2374294  68.91420067],[79.63737202 73.4999938  65.32577229],[92.  62.  64.5],[ 4.37089531 33.7625706  23.08579933],[12.36262798 18.5000062  26.67422771],[ 0.  30.  27.5],92.0,10.0,0.025
-12.900988,1,25982.734634,-678.4790559917332,"[2424.3722853389627, 0.0, 2738.169922977101]",5927.210961873994,5927.210961873994,[89.98941524 56.89271761 67.65597999],[81.99768257 72.15528202 64.06755161],[92.  62.  64.5],[ 2.01058476 35.10728239 24.34402001],[10.00231743 19.84471798 27.93244839],[ 0.  30.  27.5],92.0,10.0,0.025
-19.621862,1,25982.735117,-619.1522635455028,"[2588.645563747648, 0.0, 2984.979122363267]",6934.254560608033,6934.254560608033,[90.94234951 67.2691939  74.72350204],[82.95061684 82.53175831 71.13507366],[96.   74.75 73.5 ],[ 5.05765049 28.7308061  21.27649796],[13.04938316 13.46824169 24.86492634],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-16.190226,1,25982.735371,-668.4803395472137,"[2329.3501514192003, 0.0, 2621.930133217739]",5907.7599990897115,5907.7599990897115,[88.57196911 59.63984324 67.88282573],[80.58023643 74.90240765 64.29439735],[92.  64.5 64.5],[ 3.42803089 32.36015676 24.11717427],[11.41976357 17.09759235 27.70560265],[ 0.  27.5 27.5],92.0,10.0,0.05
-12.032431,1,25982.735597,-665.9222275659088,"[2358.992698809192, 0.0, 2397.2135346960113]",5406.772348175144,5406.772348175144,[87.0953265 59.4737971 65.1399945],[79.10359383 74.7363615  61.55156612],[90.   62.5  61.25],[ 2.9046735 30.5262029 24.8600055],[10.89640617 15.2636385  28.44843388],[ 0.   27.5  28.75],90.0,10.0,0.075
-12.181885,1,25982.735818,-637.6968626046237,"[2800.204416640328, 0.0, 2393.3938873014267]",5914.039791785825,5914.039791785825,[88.53623016 62.42121531 70.80033243],[80.54449749 77.68377972 67.21190405],[92.   65.75 64.5 ],[ 3.46376984 29.57878469 21.19966757],[11.45550251 14.31622028 24.78809595],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-11.851875,1,25982.736037,-591.0069189697023,"[2526.1451070017397, 0.0, 2686.970038880495]",5914.039791785825,5914.039791785825,[88.03040607 64.8078139  70.47609031],[80.0386734  80.0703783  66.88766193],[92.   65.75 64.5 ],[ 3.96959393 27.1921861  21.52390969],[11.9613266  11.9296217  25.11233807],[ 0.   26.25 27.5 ],92.0,10.0,0.075
-14.57303,1,25982.736263,-648.499002559155,"[2794.6985915522205, 0.0, 2721.3640828026796]",6457.050665070418,6457.050665070418,[89.07617386 65.65908934 72.68191946],[81.08444118 80.92165375 69.09349108],[94.   70.25 69.  ],[ 4.92382614 28.34091066 21.31808054],[12.91555882 13.07834625 24.90650892],[ 0.   23.75 25.  ],94.0,10.0,0.075
-13.071148,1,25982.736504,-589.6820036324782,"[2756.5829032245215, 0.0, 2856.457145649675]",6457.050665070418,6457.050665070418,[94.3801337  67.05857779 72.15128791],[86.38840103 82.3211422  68.56285954],[94.   70.25 69.  ],[-0.3801337  26.94142221 21.84871209],[ 7.61159897 11.6788578  25.43714046],[ 0.   23.75 25.  ],94.0,10.0,0.075
-16.473526,1,25982.736727,-557.8390938893998,"[2721.8810577180493, 0.0, 3070.0573302229973]",6934.254560608033,6934.254560608033,[89.61334236 70.60378291 77.02141845],[81.62160969 85.86634731 73.43299007],[96.   74.75 73.5 ],[ 6.38665764 25.39621709 18.97858155],[14.37839031 10.13365269 22.56700993],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-20.064373,1,25982.736942,-578.2677545575212,"[2440.9619024871367, 0.0, 3101.977990142728]",6934.254560608033,6934.254560608033,[93.3338166  69.35760237 72.86518181],[85.34208393 84.62016678 69.27675343],[96.   74.75 73.5 ],[ 2.6661834  26.64239763 23.13481819],[10.65791607 11.37983322 26.72324657],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-14.01149,1,26426.808812,-692.4905458332449,"[2520.2356380205533, 0.0, 2559.7591689358087]",5907.7599990897115,5907.7599990897115,[88.15351589 61.65655448 66.7057246 ],[80.16178322 76.91911888 63.11729622],[92.  64.5 64.5],[ 3.84648411 30.34344552 25.2942754 ],[11.83821678 15.08088112 28.88270378],[ 0.  27.5 27.5],92.0,10.0,0.05
-14.763679,1,26426.820959,-633.9159421718481,"[2393.671500395957, 0.0, 2658.4650835614507]",5927.210961873994,5927.210961873994,[88.75063999 58.17060305 66.83277786],[80.75890732 73.43316746 63.24434948],[92.  62.  64.5],[ 3.24936001 33.82939695 25.16722214],[11.24109268 18.56683254 28.75565052],[ 0.  30.  27.5],92.0,10.0,0.025
-14.029174,1,26426.821184,-682.509513851183,"[2350.009457766936, 0.0, 2285.753604760944]",5392.2514120297865,5392.2514120297865,[88.98800762 51.331414   64.01940096],[80.99627495 66.5939784  60.43097258],[90.  57.5 60. ],[ 1.01199238 38.668586   25.98059904],[ 9.00372505 23.4060216  29.56902742],[ 0.  32.5 30. ],90.0,10.0,0.025
-18.942076,1,26426.821393,-684.8643034878924,"[2369.4731958854527, 0.0, 2419.2344188881066]",5907.7599990897115,5907.7599990897115,[88.69525535 57.90098502 66.52776897],[80.70352268 73.16354942 62.93934059],[92.  64.5 64.5],[ 3.30474465 34.09901498 25.47223103],[11.29647732 18.83645058 29.06065941],[ 0.  27.5 27.5],92.0,10.0,0.05
-20.539139,1,26426.821598,-658.2360015345187,"[2522.375243500717, 0.0, 2608.4528146971775]",6457.050665070418,6457.050665070418,[91.88929851 67.37438227 71.63438213],[83.89756584 82.63694668 68.04595375],[94.   70.25 69.  ],[ 2.11070149 26.62561773 22.36561787],[10.10243416 11.36305332 25.95404625],[ 0.   23.75 25.  ],94.0,10.0,0.075
-18.337748,1,26426.821804,-609.344666951788,"[2478.1234736892757, 0.0, 3184.544961158174]",6934.254560608033,6934.254560608033,[91.55430324 70.46284892 73.52310264],[83.56257057 85.72541332 69.93467426],[96.   74.75 73.5 ],[ 4.44569676 25.53715108 22.47689736],[12.43742943 10.27458668 26.06532574],[ 0.   21.25 22.5 ],96.0,10.0,0.025
-20.54223,1,26426.822009,-669.0412323250337,"[2482.886967964823, 0.0, 3076.6939260673166]",6996.900212088641,6996.900212088641,[90.56156643 72.63386466 73.99813259],[82.56983376 87.89642906 70.40970421],[96.  76.  73.5],[ 5.43843357 23.36613534 22.00186741],[13.43016624  8.10357094 25.59029579],[ 0.  20.  22.5],96.0,10.0,0.05
-12.003605,1,26426.822218,-601.6856081471456,"[2433.8569765414154, 0.0, 2311.129901551748]",5392.2514120297865,5392.2514120297865,[90.16632946 52.77814271 64.45037592],[82.17459679 68.04070711 60.86194754],[90.  57.5 60. ],[-0.16632946 37.22185729 25.54962408],[ 7.82540321 21.95929289 29.13805246],[ 0.  32.5 30. ],90.0,10.0,0.025
